ticker,company_name,sector,industry,market_segment,market_cap,market_cap_bucket,liquidity_proxy,source,notes
8058.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8001.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8031.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8053.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8002.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8316.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8411.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8766.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8801.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8802.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8591.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8725.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8750.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6857.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6146.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6723.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6920.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7735.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6981.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6503.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6702.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6752.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6506.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6965.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7729.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6869.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6971.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6315.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4062.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7701.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7011.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7012.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7013.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6367.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6113.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6481.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
1801.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
1802.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
1803.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
1812.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
1925.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
1928.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
1808.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
1721.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
5803.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
5802.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7201.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7269.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7270.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
5401.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
5713.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
1605.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
5020.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9101.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9104.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9107.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
3407.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4188.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4452.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4911.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4183.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9983.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
3382.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7453.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
3092.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4661.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4385.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
2413.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4689.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4755.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9735.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
3659.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4307.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
3088.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
3064.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
2802.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
2502.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
2503.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4502.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4519.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4503.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4523.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9020.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9021.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9022.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9201.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9202.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9501.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9502.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9503.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
